link,clients,load,offered_total,gross_mbps,net_mbps,delay_ms,loss_pct,active_flows,min_flow,max_flow,eff,spread,rc,wall
wifi,1,1500.0,1500.0,1497.957,1476.558,0.613,0.122,1,1497.957,1497.957,0.998638,1.0,0,12.13136635900446
wifi,1,1800.0,1800.0,1797.587,1771.907,1.033,0.122,1,1797.587,1797.587,0.9986594444444444,1.0,0,12.650484989004326
wifi,1,2000.0,2000.0,1923.578,1896.098,52.675,2.837,1,1923.578,1923.578,0.961789,1.0,0,14.883540597002138
wifi,1,2500.0,2500.0,1923.189,1895.715,59.818,22.281,1,1923.189,1923.189,0.7692756000000001,1.0,0,15.795650551001017
wifi,1,3000.0,3000.0,1923.682,1896.201,60.372,35.225,1,1923.682,1923.682,0.6412273333333334,1.0,0,17.351063816000533
wifi,1,3500.0,3500.0,1923.716,1896.234,60.614,44.468,1,1923.716,1923.716,0.5496331428571428,1.0,0,18.08699970699672
wifi,1,4000.0,4000.0,1923.716,1896.234,60.755,51.41,1,1923.716,1923.716,0.480929,1.0,0,18.510515997004404
wifi,4,100.0,400.0,398.998,393.298,2.736,0.155,4,99.645,99.814,0.997495,1.001696020874103,0,26.962823157999082
wifi,4,150.0,600.0,598.429,589.88,3.194,0.138,4,149.455,149.785,0.9973816666666666,1.0022080224816834,0,24.94812429600279
wifi,4,200.0,800.0,797.391,786.0,7.929,0.151,4,198.806,199.554,0.99673875,1.0037624618975283,0,23.598140900001454
wifi,4,250.0,1000.0,997.233,982.987,6.486,0.161,4,248.685,249.607,0.9972329999999999,1.0037075014576673,0,23.114753982001275
wifi,4,300.0,1200.0,1195.046,1177.974,9.705,0.13,4,298.131,299.346,0.9958716666666667,1.0040753896776922,0,21.885212672998023
wifi,4,400.0,1600.0,1523.045,1501.287,94.151,1.742,4,352.02,391.401,0.9519031250000001,1.1118714845747402,0,25.935007583000697
wifi,4,450.0,1800.0,1487.47,1466.221,243.838,13.55,4,328.151,400.001,0.8263722222222223,1.2189540790672586,0,29.456214611003816
wifi,4,500.0,2000.0,1529.588,1507.736,255.675,19.308,4,321.757,445.865,0.764794,1.3857196580027784,0,30.12367701200128
wifi,4,600.0,2400.0,1553.802,1531.605,269.297,31.289,4,336.978,425.445,0.6474175,1.2625304916047932,0,31.258839729998726
wifi,8,50.0,400.0,397.262,391.587,12.023,0.344,8,49.144,49.872,0.993155,1.0148136089858375,0,47.27879670100083
wifi,8,75.0,600.0,596.415,587.895,19.12,0.178,8,74.025,74.788,0.9940249999999999,1.010307328605201,0,43.87135394800134
wifi,8,100.0,800.0,792.491,781.17,29.685,0.157,8,97.089,99.706,0.99061375,1.0269546498573474,0,40.376137070998084
wifi,8,125.0,1000.0,990.323,976.175,40.827,0.208,8,120.958,124.723,0.990323,1.0311265067213413,0,42.77523239600123
wifi,8,150.0,1200.0,1169.353,1152.648,99.311,0.727,8,140.635,149.462,0.9744608333333334,1.0627653144665268,0,42.397644796998065
wifi,8,200.0,1600.0,1288.485,1270.078,404.497,9.886,8,142.8,186.025,0.8053031249999999,1.3026960784313726,0,55.85261526999966
wifi,8,225.0,1800.0,1278.155,1259.896,512.897,20.008,8,127.029,189.997,0.7100861111111111,1.4956978327783421,0,55.341089636000106
wifi,8,250.0,2000.0,1297.429,1278.894,564.142,26.745,8,130.458,195.993,0.6487145000000001,1.5023455824863174,0,57.60390941600053
wifi,8,300.0,2400.0,1278.394,1260.131,613.973,38.854,8,108.959,192.795,0.5326641666666667,1.7694270321864185,0,58.90266133499972
wifi,15,25.0,375.0,367.573,362.322,51.106,0.866,15,23.74,24.918,0.9801946666666667,1.049620893007582,0,83.58926422200602
wifi,15,40.0,600.0,573.378,565.187,78.241,2.17,15,35.202,39.807,0.9556300000000001,1.130816430884609,0,76.68650550999882
wifi,15,60.0,900.0,834.876,822.949,173.816,3.413,15,51.208,59.479,0.92764,1.1615177316044367,0,84.6191231529956
wifi,15,80.0,1200.0,985.21,971.135,447.91,5.536,15,38.614,78.534,0.8210083333333333,2.0338219298699958,0,98.08559811699524
wifi,15,100.0,1500.0,1020.705,1006.123,748.793,12.564,15,40.307,86.309,0.68047,2.1412905946857865,0,102.86229565300164
wifi,15,120.0,1800.0,1037.837,1023.011,966.346,20.42,15,42.685,94.625,0.5765761111111111,2.2168208972707037,0,106.94254980400001
wifi,15,140.0,2100.0,1010.15,995.72,1100.268,32.447,15,29.547,88.101,0.4810238095238095,2.9817240328967407,0,109.99956341600046
