scenario,result,mptcp_scheduler,scope,priority,expected_flows,active_flows,delay_active_flows,rx_packets,delay_rx_packets,throughput_mbps,delay_ms_mean,delay_ms_p50,delay_ms_p95,delay_ms_p99,delay_ms_p999,delay_ms_max,peak_delay_ms_mean,peak_delay_ms_p50,peak_delay_ms_p95,peak_delay_ms_p99,peak_delay_ms_p999,peak_delay_ms_max,jitter_ms_mean,jitter_ms_p50,jitter_ms_p95,jitter_ms_p99,jitter_ms_p999,jitter_ms_max,nr_share_pct,wifi_share_pct
p3-sub-peak-4,default,default,priority,1,6,6,6,36,36,0.216,1.516418,0.586482,3.470651,3.470651,3.470651,3.470651,0.0,0.0,0.0,0.0,0.0,0.0,0.016306,0.002071,0.120075,0.215324,0.216028,0.216106,33.333333,66.666667
p3-sub-peak-4,default,default,priority,2,11,11,11,66,66,1.386,0.854123,0.625777,2.86201,3.468045,3.468045,3.468045,0.0,0.0,0.0,0.0,0.0,0.0,0.270205,0.003576,1.757379,2.740515,2.837082,2.847812,0.565657,99.434343
p3-sub-peak-4,default,default,priority,3,13,13,9,78,54,602.592,3.112385,0.694347,18.320604,18.484376,18.485667,18.48581,179.225914,171.792804,196.97793,292.464263,318.124554,320.975698,1.674619,0.003515,12.734489,16.207899,17.373139,17.50261,22.289154,77.710846
p3-sub-peak-4,blest,blest,overall,overall,30,30,26,180,156,604.194,1.968929,0.628207,11.60364,18.483104,18.483104,18.483104,176.138378,173.523599,206.298155,209.895973,210.670691,210.756771,0.572466,0.003,3.011781,11.484739,11.492063,11.492063,22.93195,77.06805
p3-sub-peak-4,blest,blest,priority,1,6,6,6,36,36,0.216,1.510544,0.587419,3.470651,3.470651,3.470651,3.470651,0.0,0.0,0.0,0.0,0.0,0.0,0.002315,0.001228,0.007045,0.008358,0.008526,0.008545,33.333333,66.666667
p3-sub-peak-4,blest,blest,priority,2,11,11,11,66,66,1.386,0.712483,0.625246,0.954892,2.453062,4.058862,4.237284,0.0,0.0,0.0,0.0,0.0,0.0,0.154357,0.003,0.701501,2.968119,3.203895,3.230092,0.0,100.0
p3-sub-peak-4,blest,blest,priority,3,13,13,9,78,54,602.592,3.810177,0.694557,18.483104,18.483104,18.483104,18.483104,176.138378,173.523599,206.298155,209.895973,210.670691,210.756771,1.463589,0.004287,11.176417,11.492063,11.492063,11.492063,22.980299,77.019701
p3-sub-peak-4,ecf,ecf,overall,overall,30,30,26,180,156,604.194,1.947102,0.628368,6.907211,18.345604,18.483104,18.483104,176.866223,178.264466,205.991324,215.605127,217.988813,218.253667,0.689643,0.003211,4.263107,12.220683,12.516554,12.517857,18.758477,81.241523
p3-sub-peak-4,ecf,ecf,priority,1,6,6,6,36,36,0.216,1.510424,0.585426,3.470651,3.470651,3.470651,3.470651,0.0,0.0,0.0,0.0,0.0,0.0,0.00226,0.001169,0.00614,0.007363,0.007771,0.007816,33.333333,66.666667
p3-sub-peak-4,ecf,ecf,priority,2,11,11,11,66,66,1.386,0.778989,0.625904,1.559412,3.346616,3.471973,3.485902,0.0,0.0,0.0,0.0,0.0,0.0,0.188587,0.003559,1.529907,2.742014,2.845396,2.856883,0.424242,99.575758
p3-sub-peak-4,ecf,ecf,priority,3,13,13,9,78,54,602.592,3.665913,0.695194,17.745604,18.483104,18.483104,18.483104,176.866223,178.264466,205.991324,215.605127,217.988813,218.253667,1.760302,0.00392,11.505428,12.513411,12.517412,12.517857,18.795003,81.204997
p3-sub-peak-4,roundrobin,roundrobin,overall,overall,30,30,26,180,156,604.194,6.816848,3.494441,17.23378,17.23581,17.431971,17.467953,308.753186,299.886557,360.01506,367.340351,369.107571,369.303929,2.246254,0.000934,11.015391,12.135253,13.599732,13.764158,40.75925,59.24075
p3-sub-peak-4,roundrobin,roundrobin,priority,1,6,6,6,36,36,0.216,3.403633,3.369854,3.468185,4.328987,4.746145,4.792496,0.0,0.0,0.0,0.0,0.0,0.0,0.088473,0.000232,0.728603,1.324543,1.324543,1.324543,33.466667,66.533333
p3-sub-peak-4,roundrobin,roundrobin,priority,2,11,11,11,66,66,1.386,8.456115,4.979964,17.231346,17.31706,17.452864,17.467953,0.0,0.0,0.0,0.0,0.0,0.0,3.429935,1.25,11.015391,13.075865,13.695329,13.764158,36.266667,63.733333
p3-sub-peak-4,roundrobin,roundrobin,priority,3,13,13,9,78,54,602.592,7.088776,3.495674,17.23581,17.23581,17.23581,17.23581,308.753186,299.886557,360.01506,367.340351,369.107571,369.303929,2.238052,0.001233,11.060347,11.267857,11.267857,11.267857,40.772207,59.227793
p3-sub-peak-4,wifi-only,default,overall,overall,30,30,26,180,156,604.194,2.401187,1.813337,6.618612,8.077563,9.393076,9.624962,229.698264,229.353955,261.59295,286.393781,292.688132,293.387504,0.461049,0.075764,2.487155,3.264586,3.47692,3.494849,0.0,100.0
p3-sub-peak-4,wifi-only,default,priority,1,6,6,6,36,36,0.216,0.821982,0.586232,1.70494,2.273425,2.338316,2.345526,0.0,0.0,0.0,0.0,0.0,0.0,0.174721,0.005165,0.767783,0.837428,0.856537,0.85866,0.0,100.0
p3-sub-peak-4,wifi-only,default,priority,2,11,11,11,66,66,1.386,2.436299,1.787009,6.2114,8.591838,9.52165,9.624962,0.0,0.0,0.0,0.0,0.0,0.0,0.520875,0.005694,2.859891,3.185897,3.338869,3.355866,0.0,100.0
p3-sub-peak-4,wifi-only,default,priority,3,13,13,9,78,54,602.592,3.411074,2.35333,7.177678,8.00634,8.116666,8.128924,229.698264,229.353955,261.59295,286.393781,292.688132,293.387504,0.578813,0.130006,2.272048,3.210069,3.466371,3.494849,0.0,100.0
p3-sub-peak-4,nr-only,default,overall,overall,30,30,26,167,156,354.194,15.597665,17.000568,24.73533,25.98533,25.98533,25.98533,2173.592933,1771.994926,3419.490467,3425.490467,3426.840467,3426.990467,0.49939,0.0,1.945536,2.67,2.747696,2.75,100.0,0.0
p3-sub-peak-4,nr-only,default,priority,1,6,6,6,36,36,0.216,16.973286,17.000568,17.232711,17.232711,17.232711,17.232711,0.0,0.0,0.0,0.0,0.0,0.0,0.294643,0.0,1.267857,1.267857,1.267857,1.267857,100.0,0.0
p3-sub-peak-4,nr-only,default,priority,2,11,11,11,66,66,1.386,8.326682,8.469012,8.489335,8.489335,8.489335,8.489335,0.0,0.0,0.0,0.0,0.0,0.0,0.225505,0.0,1.247676,1.247676,1.247676,1.247676,100.0,0.0
p3-sub-peak-4,nr-only,default,priority,3,13,13,9,65,54,352.592,23.567341,23.467473,25.973723,25.98533,25.98533,25.98533,2173.592933,1771.994926,3419.490467,3425.490467,3426.840467,3426.990467,0.970635,1.017857,2.514286,2.742143,2.749214,2.75,100.0,0.0
p3-sub-peak-8,default,default,overall,overall,30,30,22,180,132,1203.042,6.024542,3.470651,17.337289,18.404983,18.482591,18.482607,210.770682,189.389764,340.42331,359.959989,366.267469,366.9683,2.780888,0.254613,11.232143,15.219705,16.282734,16.403681,22.480031,77.519969
p3-sub-peak-8,default,default,priority,1,6,6,6,36,36,0.216,4.543296,0.676836,16.987367,17.00076,17.00076,17.00076,0.0,0.0,0.0,0.0,0.0,0.0,1.812499,0.006062,8.5,14.111614,16.174474,16.403681,44.444444,55.555556
p3-sub-peak-8,default,default,priority,2,11,11,11,66,66,1.386,8.002129,5.484192,18.232483,18.482526,18.482599,18.482607,0.0,0.0,0.0,0.0,0.0,0.0,3.970083,1.24324,11.232143,13.265609,14.347494,14.467704,57.856248,42.143752
p3-sub-peak-8,default,default,priority,3,13,13,5,78,30,1201.44,3.451346,0.778942,12.398066,17.233104,17.233104,17.233104,210.770682,189.389764,340.42331,359.959989,366.267469,366.9683,1.326728,0.166394,10.442111,14.680707,15.232742,15.294079,22.435681,77.564319
p3-sub-peak-8,blest,blest,overall,overall,30,30,22,179,132,1203.042,5.048301,3.103932,18.232483,18.477033,19.553771,19.715247,281.07439,216.753667,504.116695,1715.933978,2453.988395,2535.994441,3.282184,0.902265,13.226672,15.051866,17.543832,17.841751,21.98078,78.01922
p3-sub-peak-8,blest,blest,priority,1,6,6,6,36,36,0.216,4.836075,1.853226,16.987367,17.00076,17.00076,17.00076,0.0,0.0,0.0,0.0,0.0,0.0,2.656595,0.895259,12.384417,13.369217,13.690806,13.726538,33.288948,66.711052
p3-sub-peak-8,blest,blest,priority,2,11,11,11,66,66,1.386,5.651331,3.753759,18.245876,18.470919,18.481438,18.482607,0.0,0.0,0.0,0.0,0.0,0.0,3.969745,1.242007,14.478724,16.365822,17.694158,17.841751,47.250616,52.749384
p3-sub-peak-8,blest,blest,priority,3,13,13,5,77,30,1201.44,3.976309,2.096157,12.411895,18.995426,19.643265,19.715247,281.07439,216.753667,504.116695,1715.933978,2453.988395,2535.994441,2.520257,0.006723,13.127284,13.226672,13.226672,13.226672,21.949962,78.050038
p3-sub-peak-8,ecf,ecf,overall,overall,30,30,22,150,132,453.042,3.398759,3.274222,9.040172,16.898197,18.268666,18.465247,335.937503,212.250287,733.212526,2193.985253,2522.659117,2559.178435,1.796958,0.562418,8.053999,13.139445,14.567634,14.719274,22.477702,77.522298
p3-sub-peak-8,ecf,ecf,priority,1,6,6,6,36,36,0.216,3.014411,3.274222,4.723714,13.20701,15.496385,15.75076,0.0,0.0,0.0,0.0,0.0,0.0,0.562665,0.0,3.452135,6.675874,7.208659,7.267857,66.666667,33.333333
p3-sub-peak-8,ecf,ecf,priority,2,11,11,11,66,66,1.386,3.49961,3.36983,9.41158,16.82534,16.950697,16.964626,0.0,0.0,0.0,0.0,0.0,0.0,2.307863,1.259864,8.421246,11.106786,11.219607,11.232143,34.039029,65.960971
p3-sub-peak-8,ecf,ecf,priority,3,13,13,5,48,30,451.44,3.638104,3.486456,10.06709,17.175164,18.336239,18.465247,335.937503,212.250287,733.212526,2193.985253,2522.659117,2559.178435,2.154119,0.558301,11.552176,14.385387,14.685885,14.719274,22.4344,77.5656
p3-sub-peak-8,roundrobin,roundrobin,overall,overall,30,30,22,161,132,728.042,11.001748,10.98581,18.23581,19.717953,19.718641,19.718745,1106.763434,1109.472885,1989.738798,2019.005354,2021.900335,2022.221999,4.715201,1.25,12.497549,13.43875,13.736507,13.767625,43.900879,56.099121
p3-sub-peak-8,roundrobin,roundrobin,priority,1,6,6,6,36,36,0.216,3.749287,3.369854,3.468185,12.417141,16.753943,17.23581,0.0,0.0,0.0,0.0,0.0,0.0,0.459099,0.000232,0.000232,9.775081,13.368371,13.767625,33.466667,66.533333
p3-sub-peak-8,roundrobin,roundrobin,priority,2,11,11,11,66,66,1.386,13.62649,15.98581,17.409917,18.754837,19.622354,19.718745,0.0,0.0,0.0,0.0,0.0,0.0,5.978237,6.517857,11.729553,12.729334,12.972933,13.0,36.215453,63.784547
p3-sub-peak-8,roundrobin,roundrobin,priority,3,13,13,5,59,30,726.44,13.930269,17.101882,19.716735,19.717953,19.717953,19.717953,1106.763434,1109.472885,1989.738798,2019.005354,2021.900335,2022.221999,7.043844,10.195153,12.701407,13.305779,13.464507,13.482143,43.916113,56.083887
p3-sub-peak-8,wifi-only,default,overall,overall,30,30,22,179,132,1178.042,6.509726,6.58891,12.559944,17.821345,38.97959,42.156727,322.958708,306.760109,528.050144,546.371385,550.211643,550.638338,2.850979,2.151813,8.699446,11.871068,24.274318,25.783911,0.0,100.0
p3-sub-peak-8,wifi-only,default,priority,1,6,6,6,36,36,0.216,2.397834,1.595098,6.561275,10.582673,12.358622,12.55595,0.0,0.0,0.0,0.0,0.0,0.0,2.356736,1.291809,8.341301,11.368498,11.87784,11.934433,0.0,100.0
p3-sub-peak-8,wifi-only,default,priority,2,11,11,11,66,66,1.386,8.208814,7.142141,12.579899,25.397185,40.480773,42.156727,0.0,0.0,0.0,0.0,0.0,0.0,3.149978,2.386537,8.159223,17.925,24.99802,25.783911,0.0,100.0
p3-sub-peak-8,wifi-only,default,priority,3,13,13,5,77,30,1176.44,7.706006,7.069717,15.061663,17.826663,17.896059,17.90377,322.958708,306.760109,528.050144,546.371385,550.211643,550.638338,2.786275,2.239536,7.026977,9.796164,10.553706,10.637877,0.0,100.0
p3-sub-peak-8,nr-only,default,overall,overall,30,30,22,140,132,203.042,15.837199,17.000568,25.967473,26.98533,28.07158,28.23533,2983.165632,3108.777558,3248.056295,3269.407676,3274.211736,3274.745521,1.225191,0.0,8.730658,12.392417,14.935698,15.236185,100.0,0.0
p3-sub-peak-8,nr-only,default,priority,1,6,6,6,36,36,0.216,16.663763,17.000568,17.232711,17.232711,17.232711,17.232711,0.0,0.0,0.0,0.0,0.0,0.0,0.37619,0.0,1.267857,1.267857,1.267857,1.267857,100.0,0.0
p3-sub-peak-8,nr-only,default,priority,2,11,11,11,66,66,1.386,10.926427,7.236869,19.735384,22.835384,23.420384,23.485384,0.0,0.0,0.0,0.0,0.0,0.0,1.617265,0.0,9.576899,13.747535,15.08732,15.236185,100.0,0.0
p3-sub-peak-8,nr-only,default,priority,3,13,13,5,38,30,201.44,25.64902,25.73533,26.98533,27.87283,28.19908,28.23533,2983.165632,3108.777558,3248.056295,3269.407676,3274.211736,3274.745521,1.381429,1.25,3.264286,3.517857,3.517857,3.517857,100.0,0.0
