Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
1.93004	DL DCI Rxed	193	0	0	2	1	0	19	2
1.93146	HARQ FD Txed	193	1	0	2	1	0	19	2
1.94504	DL DCI Rxed	194	5	0	2	1	0	19	2
1.94554	DL DCI Rxed	194	5	1	2	1	0	18	2
1.94646	HARQ FD Txed	194	6	0	2	1	0	19	2
1.94696	HARQ FD Txed	194	6	1	2	1	0	18	2
1.96004	DL DCI Rxed	196	0	0	2	1	0	19	2
1.96054	DL DCI Rxed	196	0	1	2	1	0	18	2
1.96146	HARQ FD Txed	196	1	0	2	1	0	19	2
1.96196	HARQ FD Txed	196	1	1	2	1	0	18	2
1.97504	DL DCI Rxed	197	5	0	2	1	0	19	2
1.97554	DL DCI Rxed	197	5	1	2	1	0	18	2
1.97646	HARQ FD Txed	197	6	0	2	1	0	19	2
1.97696	HARQ FD Txed	197	6	1	2	1	0	18	2
1.99004	DL DCI Rxed	199	0	0	2	1	0	19	2
1.99054	DL DCI Rxed	199	0	1	2	1	0	18	2
1.99146	HARQ FD Txed	199	1	0	2	1	0	19	2
1.99196	HARQ FD Txed	199	1	1	2	1	0	18	2
2.00504	DL DCI Rxed	200	5	0	2	1	0	19	2
2.00646	HARQ FD Txed	200	6	0	2	1	0	19	2
2.02054	DL DCI Rxed	202	0	1	2	1	0	19	2
2.02196	HARQ FD Txed	202	1	1	2	1	0	19	2
2.03504	DL DCI Rxed	203	5	0	2	1	0	19	2
2.03554	DL DCI Rxed	203	5	1	2	1	0	18	2
2.03646	HARQ FD Txed	203	6	0	2	1	0	19	2
2.03696	HARQ FD Txed	203	6	1	2	1	0	18	2
2.04754	DL DCI Rxed	204	7	1	2	1	0	19	2
2.04896	HARQ FD Txed	204	8	1	2	1	0	19	2
2.05004	DL DCI Rxed	205	0	0	2	1	0	19	2
2.05146	HARQ FD Txed	205	1	0	2	1	0	19	2
2.05754	DL DCI Rxed	205	7	1	2	1	0	19	2
2.05896	HARQ FD Txed	205	8	1	2	1	0	19	2
2.06004	DL DCI Rxed	206	0	0	2	1	0	19	2
2.06146	HARQ FD Txed	206	1	0	2	1	0	19	2
2.07004	DL DCI Rxed	207	0	0	2	1	0	19	2
2.07054	DL DCI Rxed	207	0	1	2	1	0	18	2
2.07146	HARQ FD Txed	207	1	0	2	1	0	19	2
2.07196	HARQ FD Txed	207	1	1	2	1	0	18	2
2.07254	DL DCI Rxed	207	2	1	2	1	0	19	2
2.07304	DL DCI Rxed	207	3	0	2	1	0	18	2
2.07396	HARQ FD Txed	207	3	1	2	1	0	19	2
2.07446	HARQ FD Txed	207	4	0	2	1	0	18	2
2.08504	DL DCI Rxed	208	5	0	2	1	0	19	2
2.08554	DL DCI Rxed	208	5	1	2	1	0	18	2
2.08646	HARQ FD Txed	208	6	0	2	1	0	19	2
2.08696	HARQ FD Txed	208	6	1	2	1	0	18	2
2.09754	DL DCI Rxed	209	7	1	2	1	0	19	2
2.09804	DL DCI Rxed	209	8	0	2	1	0	18	2
2.09896	HARQ FD Txed	209	8	1	2	1	0	19	2
2.09946	HARQ FD Txed	209	9	0	2	1	0	18	2
2.10004	DL DCI Rxed	210	0	0	2	1	0	19	2
2.10054	DL DCI Rxed	210	0	1	2	1	0	18	2
2.10146	HARQ FD Txed	210	1	0	2	1	0	19	2
2.10196	HARQ FD Txed	210	1	1	2	1	0	18	2
2.11004	DL DCI Rxed	211	0	0	2	1	0	19	2
2.11054	DL DCI Rxed	211	0	1	2	1	0	18	2
2.11146	HARQ FD Txed	211	1	0	2	1	0	19	2
2.11196	HARQ FD Txed	211	1	1	2	1	0	18	2
2.11254	DL DCI Rxed	211	2	1	2	1	0	19	2
2.11304	DL DCI Rxed	211	3	0	2	1	0	18	2
2.11396	HARQ FD Txed	211	3	1	2	1	0	19	2
2.11446	HARQ FD Txed	211	4	0	2	1	0	18	2
2.12254	DL DCI Rxed	212	2	1	2	1	0	19	2
2.12304	DL DCI Rxed	212	3	0	2	1	0	18	2
2.12396	HARQ FD Txed	212	3	1	2	1	0	19	2
2.12446	HARQ FD Txed	212	4	0	2	1	0	18	2
2.12554	DL DCI Rxed	212	5	1	2	1	0	19	2
2.12696	HARQ FD Txed	212	6	1	2	1	0	19	2
2.13754	DL DCI Rxed	213	7	1	2	1	0	19	2
2.13804	DL DCI Rxed	213	8	0	2	1	0	18	2
2.13896	HARQ FD Txed	213	8	1	2	1	0	19	2
2.13946	HARQ FD Txed	213	9	0	2	1	0	18	2
2.15304	DL DCI Rxed	215	3	0	2	1	0	19	2
2.15446	HARQ FD Txed	215	4	0	2	1	0	19	2
2.16754	DL DCI Rxed	216	7	1	2	1	0	19	2
2.16804	DL DCI Rxed	216	8	0	2	1	0	18	2
2.16896	HARQ FD Txed	216	8	1	2	1	0	19	2
2.16946	HARQ FD Txed	216	9	0	2	1	0	18	2
2.18304	DL DCI Rxed	218	3	0	2	1	0	19	2
2.18446	HARQ FD Txed	218	4	0	2	1	0	19	2
2.19504	DL DCI Rxed	219	5	0	2	1	0	19	2
2.19554	DL DCI Rxed	219	5	1	2	1	0	18	2
2.19646	HARQ FD Txed	219	6	0	2	1	0	19	2
2.19696	HARQ FD Txed	219	6	1	2	1	0	18	2
2.19754	DL DCI Rxed	219	7	1	2	1	0	19	2
2.19896	HARQ FD Txed	219	8	1	2	1	0	19	2
2.20004	DL DCI Rxed	220	0	0	2	1	0	19	2
2.20146	HARQ FD Txed	220	1	0	2	1	0	19	2
2.20754	DL DCI Rxed	220	7	1	2	1	0	19	2
2.20896	HARQ FD Txed	220	8	1	2	1	0	19	2
2.21004	DL DCI Rxed	221	0	0	2	1	0	19	2
2.21146	HARQ FD Txed	221	1	0	2	1	0	19	2
2.21304	DL DCI Rxed	221	3	0	2	1	0	19	2
2.21446	HARQ FD Txed	221	4	0	2	1	0	19	2
2.21754	DL DCI Rxed	221	7	1	2	1	0	19	2
2.21896	HARQ FD Txed	221	8	1	2	1	0	19	2
2.22054	DL DCI Rxed	222	0	1	2	1	0	19	2
2.22196	HARQ FD Txed	222	1	1	2	1	0	19	2
2.22254	DL DCI Rxed	222	2	1	2	1	0	18	2
2.22396	HARQ FD Txed	222	3	1	2	1	0	18	2
2.23304	DL DCI Rxed	223	3	0	2	1	0	19	2
2.23446	HARQ FD Txed	223	4	0	2	1	0	19	2
2.23804	DL DCI Rxed	223	8	0	2	1	0	19	2
2.23946	HARQ FD Txed	223	9	0	2	1	0	19	2
2.24254	DL DCI Rxed	224	2	1	2	1	0	19	2
2.24396	HARQ FD Txed	224	3	1	2	1	0	19	2
2.24504	DL DCI Rxed	224	5	0	2	1	0	19	2
2.24554	DL DCI Rxed	224	5	1	2	1	0	18	2
2.24646	HARQ FD Txed	224	6	0	2	1	0	19	2
2.24696	HARQ FD Txed	224	6	1	2	1	0	18	2
2.25804	DL DCI Rxed	225	8	0	2	1	0	19	2
2.25946	HARQ FD Txed	225	9	0	2	1	0	19	2
2.27004	DL DCI Rxed	227	0	0	2	1	0	19	2
2.27054	DL DCI Rxed	227	0	1	2	1	0	18	2
2.27146	HARQ FD Txed	227	1	0	2	1	0	19	2
2.27196	HARQ FD Txed	227	1	1	2	1	0	18	2
2.27504	DL DCI Rxed	227	5	0	2	1	0	19	2
2.27646	HARQ FD Txed	227	6	0	2	1	0	19	2
2.28254	DL DCI Rxed	228	2	1	2	1	0	19	2
2.28304	DL DCI Rxed	228	3	0	2	1	0	18	2
2.28396	HARQ FD Txed	228	3	1	2	1	0	19	2
2.28446	HARQ FD Txed	228	4	0	2	1	0	18	2
2.28804	DL DCI Rxed	228	8	0	2	1	0	19	2
2.28946	HARQ FD Txed	228	9	0	2	1	0	19	2
2.29004	DL DCI Rxed	229	0	0	2	1	0	18	2
2.29146	HARQ FD Txed	229	1	0	2	1	0	18	2
2.29254	DL DCI Rxed	229	2	1	2	1	0	19	2
2.29304	DL DCI Rxed	229	3	0	2	1	0	18	2
2.29396	HARQ FD Txed	229	3	1	2	1	0	19	2
2.29446	HARQ FD Txed	229	4	0	2	1	0	18	2
2.29504	DL DCI Rxed	229	5	0	2	1	0	19	2
2.29646	HARQ FD Txed	229	6	0	2	1	0	19	2
2.30004	DL DCI Rxed	230	0	0	2	1	0	19	2
2.30054	DL DCI Rxed	230	0	1	2	1	0	18	2
2.30146	HARQ FD Txed	230	1	0	2	1	0	19	2
2.30196	HARQ FD Txed	230	1	1	2	1	0	18	2
2.30254	DL DCI Rxed	230	2	1	2	1	0	19	2
2.30396	HARQ FD Txed	230	3	1	2	1	0	19	2
2.31504	DL DCI Rxed	231	5	0	2	1	0	19	2
2.31554	DL DCI Rxed	231	5	1	2	1	0	18	2
2.31646	HARQ FD Txed	231	6	0	2	1	0	19	2
2.31696	HARQ FD Txed	231	6	1	2	1	0	18	2
2.35504	DL DCI Rxed	235	5	0	2	1	0	19	2
2.35646	HARQ FD Txed	235	6	0	2	1	0	19	2
2.42304	DL DCI Rxed	242	3	0	2	1	0	19	2
2.42446	HARQ FD Txed	242	4	0	2	1	0	19	2
2.43754	DL DCI Rxed	243	7	1	2	1	0	19	2
2.43896	HARQ FD Txed	243	8	1	2	1	0	19	2
2.45254	DL DCI Rxed	245	2	1	2	1	0	19	2
2.45304	DL DCI Rxed	245	3	0	2	1	0	18	2
2.45396	HARQ FD Txed	245	3	1	2	1	0	19	2
2.45446	HARQ FD Txed	245	4	0	2	1	0	18	2
2.46804	DL DCI Rxed	246	8	0	2	1	0	19	2
2.46946	HARQ FD Txed	246	9	0	2	1	0	19	2
2.48254	DL DCI Rxed	248	2	1	2	1	0	19	2
2.48304	DL DCI Rxed	248	3	0	2	1	0	18	2
2.48396	HARQ FD Txed	248	3	1	2	1	0	19	2
2.48446	HARQ FD Txed	248	4	0	2	1	0	18	2
2.49754	DL DCI Rxed	249	7	1	2	1	0	19	2
2.49804	DL DCI Rxed	249	8	0	2	1	0	18	2
2.49896	HARQ FD Txed	249	8	1	2	1	0	19	2
2.49946	HARQ FD Txed	249	9	0	2	1	0	18	2
2.51254	DL DCI Rxed	251	2	1	2	1	0	19	2
2.51304	DL DCI Rxed	251	3	0	2	1	0	18	2
2.51396	HARQ FD Txed	251	3	1	2	1	0	19	2
2.51446	HARQ FD Txed	251	4	0	2	1	0	18	2
2.52504	DL DCI Rxed	252	5	0	2	1	0	19	2
2.52646	HARQ FD Txed	252	6	0	2	1	0	19	2
2.52754	DL DCI Rxed	252	7	1	2	1	0	19	2
2.52896	HARQ FD Txed	252	8	1	2	1	0	19	2
2.53504	DL DCI Rxed	253	5	0	2	1	0	19	2
2.53646	HARQ FD Txed	253	6	0	2	1	0	19	2
2.53754	DL DCI Rxed	253	7	1	2	1	0	19	2
2.53896	HARQ FD Txed	253	8	1	2	1	0	19	2
2.54004	DL DCI Rxed	254	0	0	2	1	0	19	2
2.54146	HARQ FD Txed	254	1	0	2	1	0	19	2
2.54254	DL DCI Rxed	254	2	1	2	1	0	19	2
2.54396	HARQ FD Txed	254	3	1	2	1	0	19	2
2.54754	DL DCI Rxed	254	7	1	2	1	0	19	2
2.54896	HARQ FD Txed	254	8	1	2	1	0	19	2
2.55004	DL DCI Rxed	255	0	0	2	1	0	19	2
2.55146	HARQ FD Txed	255	1	0	2	1	0	19	2
2.55254	DL DCI Rxed	255	2	1	2	1	0	19	2
2.55304	DL DCI Rxed	255	3	0	2	1	0	18	2
2.55396	HARQ FD Txed	255	3	1	2	1	0	19	2
2.55446	HARQ FD Txed	255	4	0	2	1	0	18	2
2.55504	DL DCI Rxed	255	5	0	2	1	0	19	2
2.55554	DL DCI Rxed	255	5	1	2	1	0	18	2
2.55646	HARQ FD Txed	255	6	0	2	1	0	19	2
2.55696	HARQ FD Txed	255	6	1	2	1	0	18	2
2.55754	DL DCI Rxed	255	7	1	2	1	0	19	2
2.55896	HARQ FD Txed	255	8	1	2	1	0	19	2
2.56004	DL DCI Rxed	256	0	0	2	1	0	19	2
2.56054	DL DCI Rxed	256	0	1	2	1	0	18	2
2.56146	HARQ FD Txed	256	1	0	2	1	0	19	2
2.56196	HARQ FD Txed	256	1	1	2	1	0	18	2
2.56254	DL DCI Rxed	256	2	1	2	1	0	19	2
2.56304	DL DCI Rxed	256	3	0	2	1	0	18	2
2.56396	HARQ FD Txed	256	3	1	2	1	0	19	2
2.56446	HARQ FD Txed	256	4	0	2	1	0	18	2
2.56554	DL DCI Rxed	256	5	1	2	1	0	19	2
2.56696	HARQ FD Txed	256	6	1	2	1	0	19	2
2.56754	DL DCI Rxed	256	7	1	2	1	0	18	2
2.56896	HARQ FD Txed	256	8	1	2	1	0	18	2
2.57304	DL DCI Rxed	257	3	0	2	1	0	19	2
2.57446	HARQ FD Txed	257	4	0	2	1	0	19	2
2.61004	DL DCI Rxed	261	0	0	2	1	0	19	2
2.61146	HARQ FD Txed	261	1	0	2	1	0	19	2
2.67504	DL DCI Rxed	267	5	0	2	1	0	19	2
2.67646	HARQ FD Txed	267	6	0	2	1	0	19	2
2.69004	DL DCI Rxed	269	0	0	2	1	0	19	2
2.69146	HARQ FD Txed	269	1	0	2	1	0	19	2
2.70254	DL DCI Rxed	270	2	1	2	1	0	19	2
2.70304	DL DCI Rxed	270	3	0	2	1	0	18	2
2.70396	HARQ FD Txed	270	3	1	2	1	0	19	2
2.70446	HARQ FD Txed	270	4	0	2	1	0	18	2
