link,clients,bytes_per_burst,offered_mbps,rx_mbps,sink_mbps,delay_mean_ms,delay_p50_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,jitter_mean_ms,rx_packets,delay_rx_packets,active_flows,connected,total,connect_failures,warnings,json
wifi-only,1,64,0.000512,0.000512,0.000569,0.570201,0.56928,0.573911,0.574111,0.574161,0.0038,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b64/default-wifi-only-stream1-10s.json
wifi-only,1,1024,0.008192,0.008192,0.009109,0.570969,0.570048,0.574679,0.574879,0.574929,0.0038,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b1024/default-wifi-only-stream1-10s.json
wifi-only,1,16384,0.131072,0.131072,0.145739,1.783553,1.782632,1.787263,1.787463,1.787513,0.0038,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b16384/default-wifi-only-stream1-10s.json
wifi-only,1,65536,0.524288,0.524288,0.582957,3.962547,3.919401,4.200689,4.255369,4.269039,0.21575,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b65536/default-wifi-only-stream1-10s.json
wifi-only,1,262144,2.097152,2.097152,2.33183,6.790637,6.621716,7.641107,7.789099,7.826097,0.582223,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b262144/default-wifi-only-stream1-10s.json
wifi-only,1,1048576,8.388608,8.388608,9.327318,9.259107,9.480926,10.063164,10.163659,10.188783,0.819278,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b1048576/default-wifi-only-stream1-10s.json
wifi-only,1,2097152,16.777216,16.777216,18.654636,17.654418,18.066423,18.321264,18.355726,18.364342,1.338368,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b2097152/default-wifi-only-stream1-10s.json
wifi-only,1,4194304,33.554432,33.554432,37.309272,27.907429,27.646605,30.160669,30.468899,30.545957,2.070412,6,6,1,1,1,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n001-b4194304/default-wifi-only-stream1-10s.json
wifi-only,4,64,0.002048,0.002048,0.002252,0.570274,0.570399,0.574161,0.574172,0.574175,0.003675,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b64/default-wifi-only-stream1-10s.json
wifi-only,4,1024,0.032768,0.032768,0.036027,0.571042,0.571167,0.574929,0.57494,0.574943,0.003675,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b1024/default-wifi-only-stream1-10s.json
wifi-only,4,16384,0.524288,0.524288,0.57434,1.783988,1.783751,1.787513,1.787521,1.787523,0.002857,24,24,4,4,4,0,,/root/bake/source/ns-3-dce/myscripts/pamptcp-link-characteristics/flow-profiles/final-grid/n004-b16384/default-wifi-only-stream1-10s.json
